,Şəhər,Qiymət,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb,Sahiblər,Qəzalı
8765,Sumqayıt,4 900 AZN,Tofas,Sahin,2006,Sedan,Göy,1.6 L/86 a.g./Benzin,189 821 km,Mexaniki,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
8766,Bakı,39 800 USD,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0 L/282 a.g./Benzin,111 750 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",,0,
8767,Bakı,14 500 AZN,Mercedes,E 240,2001,Sedan,Göy,2.4 L/170 a.g./Benzin,242 300 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
8768,Bakı,15 700 AZN,Chevrolet,Cruze,2015,Sedan,Tünd qırmızı,1.4 L/140 a.g./Benzin,125 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
8769,Bakı,17 800 AZN,Hyundai,Sonata,2010,Sedan,Gümüşü,2.4 L/178 a.g./Benzin,175 600 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
8771,Bakı,12 700 AZN,BMW,528,1998,Sedan,Qara,2.8 L/193 a.g./Benzin,331 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
8772,Bakı,17 200 AZN,Hyundai,Accent,2012,Sedan,Boz,1.6 L/140 a.g./Benzin,218 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənib",Amerika,1,
8773,Bakı,7 400 AZN,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L/75 a.g./Benzin,68 000 km,Mexaniki,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
8774,Bakı,13 300 AZN,Chevrolet,Cruze,2012,Sedan,Gümüşü,1.4 L/140 a.g./Benzin,228 251 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8775,Bakı,26 800 USD,Toyota,Prado,2013,Offroader / SUV,Ağ,2.7 L/167 a.g./Benzin,162 300 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",,,
8776,Ağdaş,7 200 AZN,LADA (VAZ),2115,2009,Sedan,Qara,1.6 L/80 a.g./Benzin,220 000 km,Mexaniki,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",,0,
8777,Bakı,14 000 AZN,Ford,Fiesta,2016,Sedan,Qara,1.6 L/105 a.g./Benzin,81 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənib",,2,
8778,Bakı,19 000 AZN,Chevrolet,Suburban,2000,Offroader / SUV,Gümüşü,5.7 L/255 a.g./Dizel,200 000 km,Mexaniki,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8780,Bakı,11 850 AZN,Mercedes,308 D,1995,Yük maşını,Sarı,2.3 L/116 a.g./Dizel,395 000 km,Mexaniki,Arxa,Xeyr,2,"Vuruğu yoxdur, rənglənməyib",Avropa,3,
8781,Bakı,14 500 AZN,Mercedes,C 230,2006,Sedan,Qara,2.5 L/204 a.g./Benzin,287 500 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
8782,Sumqayıt,9 400 AZN,LADA (VAZ),Priora,2008,Sedan,Yaş Asfalt,1.6 L/106 a.g./Benzin,201 000 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
8783,Sumqayıt,8 500 AZN,LADA (VAZ),Priora,2011,Universal,Qara,1.6 L/106 a.g./Benzin,352 000 km,Mexaniki,Ön,Xeyr,5,"Vuruğu var, rənglənib",Rusiya,2,
8796,Bakı,17 900 AZN,Chevrolet,Volt,2012,Liftbek,Gümüşü,1.4 L/84 a.g./Plug-in Hibrid,159 800 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8797,Bakı,32 900 AZN,Hyundai,Grandeur,2015,Sedan,Qara,2.2 L/203 a.g./Dizel,116 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,1,
8798,Bakı,16 500 AZN,Toyota,Prius,2008,Liftbek,Gümüşü,1.5 L/76 a.g./Hibrid,420 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
8799,Bakı,14 200 AZN,Nissan,Tiida,2007,Sedan,Gümüşü,1.6 L/110 a.g./Benzin,322 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Digər,2,
8800,Bakı,32 900 AZN,Toyota,Prado,2008,Offroader / SUV,Qara,2.7 L/163 a.g./Benzin,250 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Yaponiya,2,
8801,Siyəzən,8 200 AZN,GAZ,31105,2008,Sedan,Göy,2.3 L/131 a.g./Benzin,248 000 km,Mexaniki,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
8802,Bakı,6 700 AZN,Daewoo,Damas,2010,Furqon,Ağ,0.8 L/38 a.g./Benzin,225 000 km,Mexaniki,Arxa,Xeyr,2,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,3,
8803,Bakı,22 200 USD,GMC,Terrain,2019,Offroader / SUV,Ağ,1.5 L/170 a.g./Benzin,131 966 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8804,Bakı,4 500 AZN,Chrysler,Intrepid,2000,Sedan,Gümüşü,3.2 L/228 a.g./Benzin,180 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,3,
8805,Sumqayıt,22 900 USD,BMW,528,2016,Sedan,Ağ,2.0 L/245 a.g./Benzin,96 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
8807,Sumqayıt,18 900 USD,Chevrolet,Camaro,2010,Kupe,Qara,3.6 L/312 a.g./Benzin,138 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
8808,Bakı,34 600 AZN,Baic,X55,2022,Offroader / SUV,Göy,1.5 L/150 a.g./Benzin,0 km,Avtomat,Ön,Bəli,,"Vuruğu yoxdur, rənglənməyib",,,
8809,Bakı,23 900 USD,Mercedes,C 300,2015,Sedan,Boz,2.0 L/245 a.g./Benzin,145 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
8810,Bakı,27 800 AZN,Hyundai,Santa Fe,2013,Offroader / SUV,Göy,2.0 L/265 a.g./Benzin,121 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
8811,Bakı,37 900 AZN,Kia,Sorento,2013,Offroader / SUV,Yaş Asfalt,2.0 L/184 a.g./Dizel,147 000 km,Avtomat,Ön,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Koreya,,
8812,Bakı,24 600 AZN,Hyundai,Santa Fe,2008,Offroader / SUV,Ağ,2.7 L/185 a.g./Benzin,160 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
8813,Bakı,11 800 AZN,Lexus,RX 300,2000,Offroader / SUV,Yaşıl,3.0 L/201 a.g./Benzin,220 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
8814,Bakı,15 000 AZN,Hyundai,i30,2008,Universal,Boz,1.6 L/115 a.g./Dizel,226 000 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,2,
8815,Sumqayıt,19 900 USD,Mercedes,E 350,2010,Sedan,Ağ,3.5 L/272 a.g./Benzin,180 178 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,1,
8816,Gəncə,11 500 AZN,KamAz,55111,1984,Yük maşını,Yaşıl,11 L/191 a.g./Dizel,196 000 km,Mexaniki,Tam,Xeyr,2,"Vuruğu yoxdur, rənglənməyib",Rusiya,,
8817,Sumqayıt,34 500 AZN,BMW,328,2014,Sedan,Qəhvəyi,2.0 L/245 a.g./Benzin,255 444 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8818,Bakı,37 000 AZN,BMW,X5,2010,Offroader / SUV,Yaş Asfalt,3.0 L/306 a.g./Benzin,280 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
8819,Bakı,12 500 AZN,Mercedes,E 230,1997,Sedan,Gümüşü,2.3 L/150 a.g./Benzin,315 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənib",,,
8828,Şəmkir,23 200 AZN,Chevrolet,Malibu,2016,Sedan,Göy,1.5 L/160 a.g./Benzin,144 436 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8832,Bakı,60 000 USD,Mercedes,GL 63 AMG,2015,Offroader / SUV,Qara,5.5 L/557 a.g./Benzin,75 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,1,
8833,Bakı,25 900 AZN,Hyundai,Sonata,2015,Sedan,Ağ,2.0 L/245 a.g./Benzin,77 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
8834,Bakı,23 900 AZN,Chevrolet,Malibu,2017,Sedan,Ağ,1.5 L/160 a.g./Benzin,88 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
8836,Bakı,52 000 USD,Lexus,RX 350,2018,Offroader / SUV,Göy,3.5 L/301 a.g./Benzin,59 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
8837,Bakı,59 000 USD,Land Rover,RR Sport,2016,Offroader / SUV,Qara,3.0 L/340 a.g./Benzin,18 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8838,Bakı,29 900 AZN,Kia,Sorento,2010,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,187 000 km,Avtomat,Ön,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Koreya,2,
8841,Bakı,24 500 AZN,Hyundai,Elantra,2016,Sedan,Qara,2.0 L/150 a.g./Benzin,60 890 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,1,
8843,Bakı,36 500 AZN,Kia,Niro,2019,Offroader / SUV,Göy,1.6 L/105 a.g./Hibrid,51 982 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8844,Bakı,33 800 AZN,Mercedes,Viano,2011,Van,Qara,2.2 L/163 a.g./Dizel,214 000 km,Avtomat,Arxa,Xeyr,8+,"Vuruğu yoxdur, rənglənməyib",,,
8845,Sumqayıt,24 400 AZN,Hyundai,ix35,2011,Offroader / SUV,Ağ,2.4 L/178 a.g./Benzin,174 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
8846,Sumqayıt,30 400 AZN,Lexus,GX 470,2005,Offroader / SUV,Göy,4.7 L/263 a.g./Benzin,183 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",,,
8847,Bakı,18 200 AZN,Mercedes,C 180,2008,Sedan,Qara,1.8 L/156 a.g./Benzin,250 000 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənib",Avropa,2,
8848,Sumqayıt,20 900 AZN,Mazda,CX-9,2009,Offroader / SUV,Ağ,3.7 L/277 a.g./Benzin,238 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
8849,Bakı,11 000 AZN,Khazar,LX,2020,Sedan,Ağ,1.7 L/113 a.g./Benzin,143 000 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,1,
8850,Bakı,30 800 AZN,Honda,CR-V,2012,Offroader / SUV,Ağ,2.4 L/177 a.g./Benzin,186 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2,
8851,Bakı,17 600 AZN,Hyundai,i30,2011,Universal,Gümüşü,1.6 L/116 a.g./Dizel,190 000 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,2,
8852,Bakı,21 000 AZN,Mercedes,CLS 350,2005,Sedan,Qara,3.5 L/272 a.g./Benzin,229 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
8853,Bakı,12 500 AZN,Hyundai,i30,2007,Hetçbek,Qara,1.6 L/116 a.g./Dizel,245 000 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənib",,2,
8855,Bakı,10 600 AZN,Opel,Meriva,2007,Minivan,Qızılı,1.3 L/75 a.g./Dizel,205 000 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
8857,Bakı,89 999 USD,Land Rover,RR Sport,2019,Offroader / SUV,Göy,3.0 L/340 a.g./Benzin,60 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
8861,Bakı,44 500 USD,Volkswagen,ID.6,2022,Offroader / SUV,Yaş Asfalt,0.0 L/204 a.g./Elektro,0 km,Avtomat,Tam,Bəli,7,"Vuruğu yoxdur, rənglənməyib",,,
8863,Bakı,27 700 AZN,BMW,328,2014,Sedan,Qara,2.0 L/245 a.g./Benzin,140 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8864,Bakı,50 900 USD,Toyota,Camry,2023,Sedan,Ağ,2.5 L/220 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,5,"Vuruğu yoxdur, rənglənməyib",,0,
8868,Bakı,49 800 USD,BMW,X5,2015,Offroader / SUV,Ağ,3.0 L/306 a.g./Dizel,98 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Amerika,,
8869,Bakı,5 800 AZN,Volkswagen,Golf,1998,Hetçbek,Qara,1.8 L/125 a.g./Benzin,225 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənib",Amerika,3,
8870,İmişli,7 500 AZN,Ford,Transit,1992,Furqon,Tünd qırmızı,2.5 L/85 a.g./Dizel,87 103 km,Mexaniki,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Digər,3,
8871,Sumqayıt,22 555 AZN,Kia,Optima,2012,Sedan,Ağ,2.0 L/165 a.g./Benzin,225 308 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
8872,Sumqayıt,23 900 AZN,Kia,Optima,2014,Sedan,Qara,2.0 L/274 a.g./Benzin,149 669 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
8873,Sumqayıt,32 900 AZN,Kia,Sorento,2012,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,56 752 km,Avtomat,Ön,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Koreya,,
8874,Bakı,33 900 AZN,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,78 150 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,0,
8875,Sumqayıt,35 000 AZN,Hyundai,Santa Fe,2015,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,140 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Koreya,1,
